MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,159286.0,5102.0,9,4184.0,13830,"Kahului, HI",OGG,13930,"Chicago, IL",ORD,United Air Lines Inc.,UA,1,1,2025
0.0,0.0,5103.0,3,1126.0,11697,"Fort Lauderdale, FL",FLL,12244,"New Haven, CT",HVN,TEM Enterprises dba  Avelo Airlines,XP,1,1,2025
0.0,0.0,5103.0,3,1342.0,14986,"Sarasota/Bradenton, FL",SRQ,13487,"Minneapolis, MN",MSP,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5104.0,3,1068.0,11618,"Newark, NJ",EWR,14635,"Fort Myers, FL",RSW,JetBlue Airways,B6,1,1,2025
0.0,0.0,5104.0,5,2099.0,11057,"Charlotte, NC",CLT,14908,"Santa Ana, CA",SNA,American Airlines Inc.,AA,1,1,2025
0.0,53546.0,5105.0,5,2329.0,10821,"Baltimore, MD",BWI,12892,"Los Angeles, CA",LAX,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5106.0,2,993.0,14100,"Philadelphia, PA",PHL,14635,"Fort Myers, FL",RSW,Frontier Airlines Inc.,F9,1,1,2025
0.0,35372.0,5106.0,1,253.0,10170,"Kodiak, AK",ADQ,10299,"Anchorage, AK",ANC,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5107.0,2,731.0,11298,"Dallas/Fort Worth, TX",DFW,10397,"Atlanta, GA",ATL,Frontier Airlines Inc.,F9,1,1,2025
0.0,897.0,5109.0,2,543.0,14747,"Seattle, WA",SEA,10849,"Bozeman, MT",BZN,Horizon Air,QX,1,1,2025
0.0,0.0,5110.0,3,1045.0,14843,"San Juan, PR",SJU,13303,"Miami, FL",MIA,Frontier Airlines Inc.,F9,1,1,2025
0.0,178.0,5110.0,6,2695.0,12889,"Las Vegas, NV",LAS,13830,"Kahului, HI",OGG,Southwest Airlines Co.,WN,1,1,2025
0.0,8417.0,5110.0,1,409.0,10821,"Baltimore, MD",BWI,11433,"Detroit, MI",DTW,Southwest Airlines Co.,WN,1,1,2025
0.0,8750.0,5110.0,2,949.0,13198,"Kansas City, MO",MCI,11278,"Washington, DC",DCA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5111.0,1,209.0,15096,"Syracuse, NY",SYR,12478,"New York, NY",JFK,JetBlue Airways,B6,1,1,2025
0.0,0.0,5112.0,2,637.0,14783,"Springfield, MO",SGF,11292,"Denver, CO",DEN,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5113.0,1,228.0,14747,"Seattle, WA",SEA,14489,"Bend/Redmond, OR",RDM,SkyWest Airlines Inc.,OO,1,1,2025
0.0,11019.0,5113.0,5,2446.0,14771,"San Francisco, CA",SFO,13204,"Orlando, FL",MCO,Alaska Airlines Inc.,AS,1,1,2025
0.0,0.0,5115.0,2,500.0,11278,"Washington, DC",DCA,12339,"Indianapolis, IN",IND,Republic Airline,YX,1,1,2025
0.0,0.0,5117.0,1,417.0,14679,"San Diego, CA",SAN,14831,"San Jose, CA",SJC,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5119.0,3,1047.0,12441,"Jackson, WY",JAC,11298,"Dallas/Fort Worth, TX",DFW,American Airlines Inc.,AA,1,1,2025
0.0,1.0,5119.0,5,2099.0,14908,"Santa Ana, CA",SNA,11057,"Charlotte, NC",CLT,American Airlines Inc.,AA,1,1,2025
0.0,3188.0,5119.0,2,755.0,12339,"Indianapolis, IN",IND,11259,"Dallas, TX",DAL,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5123.0,2,735.0,14107,"Phoenix, AZ",PHX,10713,"Boise, ID",BOI,SkyWest Airlines Inc.,OO,1,1,2025
0.0,164.0,5123.0,5,2457.0,13796,"Oakland, CA",OAK,12982,"Lihue, HI",LIH,Southwest Airlines Co.,WN,1,1,2025
0.0,3987.0,5125.0,3,1068.0,13303,"Miami, FL",MIA,15016,"St. Louis, MO",STL,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5126.0,1,371.0,13796,"Oakland, CA",OAK,14908,"Santa Ana, CA",SNA,Spirit Air Lines,NK,1,1,2025
0.0,0.0,5127.0,2,588.0,14869,"Salt Lake City, UT",SLC,12954,"Long Beach, CA",LGB,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5129.0,2,771.0,15412,"Knoxville, TN",TYS,12266,"Houston, TX",IAH,CommuteAir LLC dba CommuteAir,C5,1,1,2025
0.0,0.0,5131.0,1,399.0,13795,"Jacksonville/Camp Lejeune, NC",OAJ,10397,"Atlanta, GA",ATL,Endeavor Air Inc.,9E,1,1,2025
0.0,0.0,5132.0,3,1433.0,14492,"Raleigh/Durham, NC",RDU,14843,"San Juan, PR",SJU,JetBlue Airways,B6,1,1,2025
0.0,0.0,5133.0,5,2039.0,13204,"Orlando, FL",MCO,12889,"Las Vegas, NV",LAS,Spirit Air Lines,NK,1,1,2025
